Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author name available],"Retraction: Officer characteristics and racial disparities in fatal officer-involved shootings (Proceedings of the National Academy of Sciences of the United States of America (2019) 116 (15877–15882) DOI: 10.1073/pnas.1903856116)",2020,"Proceedings of the National Academy of Sciences of the United States of America",117,"30",,18130,,,,10.1073/pnas.2014148117,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088880964&partnerID=40&md5=4f48e1d45c53494d17d58951105e9a79",Erratum,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85088880964
[No author name available],[No author name available],"Corrigendum: In an Absolute State: Elevated Use of Absolutist Words Is a Marker Specific to Anxiety, Depression, and Suicidal Ideation (Clinical Psychological Science, (2018), 6, 4, (529-542), 10.1177/2167702617747074)",2019,"Clinical Psychological Science",7,"3",,636,637,,2,10.1177/2167702619843297,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064568280&partnerID=40&md5=b7cfe3ab8f15b7ab965545e33df6dac9",Erratum,Final,"All Open Access, Bronze",Scopus,2-s2.0-85064568280
[No author name available],[No author name available],"Erratum to: Who Believes the Hype? An Experimental Examination of How Language Affects Investor Judgments (Journal of Accounting Research, (2011), 49, 1, (223-255), 10.1111/j.1475-679X.2010.00394.x)",2019,"Journal of Accounting Research",57,"1",,291,,,,10.1111/1475-679X.12250,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060961701&partnerID=40&md5=9f01bc9f9caa21e5206c72578d83c169",Erratum,Final,"All Open Access, Bronze",Scopus,2-s2.0-85060961701
[No author name available],[No author name available],"Key principles underlying statistical inference: Probability and the normal distribution",2011,"Munro's Statistical Methods for Health Care Research: Sixth Edition",,"",,61,75,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969917133&partnerID=40&md5=4c2c130ff864dc8120b0dccab819facb",Book Chapter,Final,"",Scopus,2-s2.0-84969917133
"Zunino, A., Mosegaard, K., Lange, K., Melnikova, Y., Hansen, T.M.","25932487300; 55879596700; 55362725900; 6603243576; 35402645500","Monte Carlo reservoir analysis combining seismic reflection data and informed priors",2014,"Geophysics",80,"1",,R31,R41,,31,10.1190/GEO2014-0052.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923613267&partnerID=40&md5=475f00e81f20f7e1e2524e1de9627a13",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84923613267
"Zumer, J.M., Attias, H.T., Sekihara, K., Nagarajan, S.S.","10046318500; 56122759100; 57201282215; 7102013103","A probabilistic algorithm integrating source localization and noise suppression for MEG and EEG data",2007,"NeuroImage",37,"1",,102,115,,53,10.1016/j.neuroimage.2007.04.054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34447576745&partnerID=40&md5=f529e47adadd7addff63fbe7f763c214",Article,Final,"",Scopus,2-s2.0-34447576745
"Zumbo, B.D.","7004143671","Randomization test for coupled data",1996,"Perception &amp; Psychophysics",58,"3",,471,478,,6,10.3758/BF03206822,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0030115388&partnerID=40&md5=9acdc2712d7cf0bfcb4965b7e49f29c2",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0030115388
"Zumbach, G.","56123104200","The statistical properties of the innovations in multivariate ARCH processes in high dimensions",2013,"Quantitative Finance",13,"1",,29,44,,3,10.1080/14697688.2011.589399,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871305307&partnerID=40&md5=4b60a1de6e69c9119f8fd060c20faec1",Article,Final,"",Scopus,2-s2.0-84871305307
"Zuanazzi, A., Noppeney, U.","56826164300; 6603954675","Distinct neural mechanisms of spatial attention and expectation guide perceptual inference in a multisensory world",2019,"Journal of Neuroscience",39,"12",,2301,2312,,8,10.1523/JNEUROSCI.2873-18.2019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063617677&partnerID=40&md5=c83f82f275045492ebebe031b614b212",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85063617677
"Zou, T., Lan, W., Li, R., Tsai, C.-L.","57202433982; 49961705000; 7404723813; 7404968188","Inference on covariance-mean regression",2021,"Journal of Econometrics",,"",,,,,,10.1016/j.jeconom.2021.05.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107667031&partnerID=40&md5=840c41d1f23252911dbaec050ee06773",Article,Article in Press,"",Scopus,2-s2.0-85107667031
